,daily_return,total assets
0,0.0,100000.0
1,0.0028843888228642753,100288.43888228643
2,0.008009628287443315,101091.71199926152
3,-0.00037739452649391354,101053.5605404791
4,-0.007215259897589131,100324.43283760278
5,-0.0007749388878596608,100246.68753319446
6,0.00013057121897132895,100259.77686538351
7,-0.017663165158529195,98488.87186785295
8,0.00918477563311938,99393.47005831823
9,-0.019089301102696028,97496.11818073319
10,0.0061352286624322926,98094.27915947151
11,0.013243839897475696,99393.42408751784
12,0.0009966628209622805,99492.485817954
13,0.01162928129605099,100649.51192237435
14,0.00465865885297724,101118.40366213936
15,0.007347169089240309,101861.33767187916
16,-0.0010059983884422418,101758.86533033667
17,0.0006390738040638319,101823.89675550055
18,-1.3813590614150214e-05,101822.49020187603
19,0.0014797200514474558,101973.15898231606
20,0.0008016404967862216,102054.9047961415
21,0.00414651031816268,102478.07651189782
22,-0.00628060222216931,101834.45247683355
23,-0.0008637730260021598,101746.49062366637
24,0.00029296737103150553,101776.29902553606
25,0.0002201109248744725,101798.70110084488
26,0.010796953120697164,102897.81690437856
27,-0.015438543158557735,101309.22451717894
28,-0.014913918796524235,99798.30696939089
29,0.017631001072904575,101557.85102664228
30,-0.005292617041314968,101020.34421361935
31,-0.003945333761888272,100621.78523895578
32,-0.010297656070651395,99585.61670135007
33,0.018673153474421285,101445.19420585927
34,0.008579730429832977,102315.5666255476
35,0.001733248424048243,102492.90492015693
36,0.014380570304356376,103966.81134505896
37,0.004300349192783274,104413.90493830293
38,0.0072835750967746755,105174.41145606856
39,0.006887848378986678,105898.83685552712
40,-0.0026873825522249263,105614.24616906066
41,0.00352114900841291,105986.12966723312
42,-0.007553789470758175,105185.53275690637
43,-0.005845721444223587,104570.64743244724
44,0.005015802546423988,105095.15315212011
45,-0.007164412137914719,104342.20816124105
46,-0.0010098557887396155,104236.83757831955
47,0.005772873846913508,104838.5836918604
48,0.015167738106759353,106428.74787278211
49,0.00375655037644762,106828.55282566846
50,-0.004577073877300825,106339.59064718024
51,-0.0015476890709835438,106175.01002492274
52,0.004506656237036405,106653.50429606896
53,0.012524683963662858,107989.30573099438
54,-0.002587755610400427,107709.85579922576
55,0.001030300081209855,107820.8292724028
56,-5.137080719584879e-05,107815.29042937055
57,0.006636784832464549,108530.83731359996
58,-0.002554129286609962,108253.63552351699
59,-0.0022363592852994805,108011.54150054655
60,0.0005712626999698898,108073.24446537206
61,0.006396433016493669,108764.52773446996
62,0.004618603545876409,109266.86796792995
63,-0.0030834527908252586,108929.9487389495
64,-0.005829454468392161,108294.9465625315
65,0.0086031498378849,109226.6242144947
66,-0.009612202637018808,108176.71576918747
67,0.003774820301572872,108585.06343203048
68,-0.002826519738976053,108278.14560688188
69,-0.0006512619599323288,108207.6281695561
70,-0.003339689903332515,107846.24824629468
71,0.006733480867232851,108572.42889546395
72,-0.004528237365423296,108080.78716608474
73,0.007473871530861995,108888.5690843185
74,-0.001242335876552688,108753.29290839857
75,0.0027367916425718244,109050.92801153244
76,0.008305206696400159,109956.61850910247
77,0.005257001300708329,110534.66059562631
78,-0.000736753055430456,110453.22384670151
79,-0.01227964056485785,109096.89795863423
80,-0.017827636172698454,107151.95815425769
81,0.01251173573881836,108492.61513858069
82,0.009859797230852107,109562.33032489197
83,-0.0010473759772939243,109447.57737209334
84,-0.006261843848864823,108762.23373295274
85,-0.004079839626036036,108318.50126195284
86,0.005557057377571118,108920.43338851802
87,0.0018244683455113683,109119.15527141475
88,0.005462075826758835,109715.1723716591
89,-0.0028834880821417322,109398.80997969529
90,-0.0009818255275783096,109291.39943537053
91,0.0031373170507599094,109634.28120632053
92,0.0012172229491112408,109767.73056941418
93,0.00029087738567474777,109799.65951991366
94,0.0023865210962531673,110061.69872371935
95,-0.00012946680406859403,110047.44938733523
96,0.005748049161648067,110680.00753652761
97,-0.003426404621560789,110300.77304719007
98,-0.001524269506285357,110132.64494231454
99,-0.003494191649860368,109747.82037398007
100,0.0033974367646798375,110120.6816537621
101,0.0009581823300420867,110226.19734509493
102,-0.0026397748758894375,109935.22499867852
103,-0.002342610777284747,109677.68955579339
104,-0.008005101116217687,108799.70856070613
105,-0.004818841841996608,108275.41997269676
106,-0.016360550101491542,106503.97453947342
107,0.015823040862087936,108189.19128058628
108,0.0016610073128250974,108368.89431847197
109,-0.0027402871739853345,108071.93242731209
110,0.00821903012469144,108960.17889556578
111,0.008339170886032784,109868.81644714861
112,-0.0036518484027271265,109467.59218529657
113,-0.0009017259810143261,109368.882413344
114,0.006552016014877611,110085.4690824455
115,0.0013243287496213876,110231.25843406694
116,0.003530025573805352,110620.37759537195
117,-0.005649412111643077,109995.43749439012
118,0.0027677982433353017,110299.88267306199
119,-0.006508533696319484,109581.99216998428
120,0.011499017994694499,110842.0774698414
121,0.0025175006924712698,111121.12247662668
122,-0.0019464444534553487,110904.83138412032
123,0.0023471659798969167,111165.14343135133
124,0.00029819372593550884,111198.29217966528
125,-0.007390285519093085,110376.50505122202
126,-0.017636603465623478,108429.83839971223
127,0.012944791029691254,109833.4399991797
128,0.007682338057314539,110677.21761525117
129,-0.0003698726507413116,110636.28113939514
130,0.0052461345865205435,111216.69396040453
131,0.0036283827524228227,111620.23069455195
132,-0.0021092787083562005,111384.79251852613
133,-0.00333259347616019,111013.59228563543
134,0.003781834902687927,111433.42736361401
135,-0.0028903072995275954,111111.35051509358
136,-0.0028474524856526126,110794.96622388516
137,0.007753722110310226,111654.03960320637
138,-0.009284047693164169,110617.43817439576
139,0.008056744056497131,111508.65456195227
140,0.0025346494877437706,111791.28991611672
